ISBN,登録番号,受入日,title,書名かな,副書名,副書名かな,series,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目,
9788-877546012,81413,2024/09/17,Great expectations,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 21000w,False,,,,False,,,,False,False,True,,
9788-877546012,81414,2024/09/17,Great expectations,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5 21000w,False,,,,False,,,,False,False,True,,
9788-853000255,81415,2024/09/17,A Christmas Carol,,,,Reading and training  pre-intermediate  step 4,,Charles Dickens,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR4 YL4.5 9000w,False,,,,False,,,,False,False,True,,
9788-853000255,81416,2024/09/17,A Christmas Carol,,,,Reading and training  pre-intermediate  step 4,,Charles Dickens,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR4 YL4.5 9000w,False,,,,False,,,,False,False,True,,
9788-853000255,81417,2024/09/17,A Christmas Carol,,,,Reading and training  pre-intermediate  step 4,,Charles Dickens,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR4 YL4.5 9000w,False,,,,False,,,,False,False,True,,
9788-853000255,81418,2024/09/17,A Christmas Carol,,,,Reading and training  pre-intermediate  step 4,,Charles Dickens,,,837.7,RE,,Black Cat,2003,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR4 YL4.5 9000w,False,,,,False,,,,False,False,True,,
9788-877549341,81419,2024/09/17,Silas Marner,,,,Reading and training  Step6　C1,,George Eliot,,,837.7,RE,,Black Cat,2003,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877547590,81420,2024/09/17,The problem of cell 13,,,,Reading and training  intermediate,,Jacques Futrelle,,,837.7,RE,,Black Cat,1999,96p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853000903,81421,2024/09/17,The scarlet letter,,,,Reading and training  intermediate,,Nathaniel Hawthorne ,,,837.7,RE,,Black Cat,2004,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003331,81422,2024/09/17,Pamela,,,,Reading and training  Step 5 B2.2,,Samuel Richardson,,,837.7,RE,,Black Cat,2006,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003331,81423,2024/09/17,Pamela,,,,Reading and training  Step 5 B2.2, ,Samuel Richardson,,,837.7,RE,,Black Cat,2006,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-853003331,81424,2024/09/17,Pamela,,,,Reading and training  Step 5 B2.2, ,Samuel Richardson,,,837.7,RE,,Black Cat,2006,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549327,81425,2024/09/17,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
9788-877549327,81426,2024/09/17,Tess of the d'Urbervilles,,,,Reading and training  intermediate,,Thomas Hardy,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,,False,,,,False,,,,False,False,True,,
